"Postal code area","Free-time residences, 2017 (RA)","Buildings, total, 2017 (RA)","Other buildings, 2017 (RA)","Residential buildings, 2017 (RA)","Dwellings, 2017 (RA)","Average floor area, 2017 (RA)","Dwellings in small houses, 2017 (RA)","Dwellings in blocks of flats, 2017 (RA)"
"Finland",507200,1523196,228770,1294426,2946814,80.1,1568029,1378785
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",0,634,326,308,11884,65.9,2,11882
"00120 Punavuori   (Helsinki )",0,248,100,148,4446,68.9,7,4439
"00130 Kaartinkaupunki   (Helsinki )",0,142,108,34,915,75.0,0,915
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",0,248,75,173,5439,73.8,14,5425
"00150 Eira - Hernesaari   (Helsinki )",2,372,107,265,6759,55.5,32,6727
"00160 Katajanokka   (Helsinki )",0,141,63,78,2706,76.4,2,2704
"00170 Kruununhaka   (Helsinki )",0,265,131,134,4642,68.2,9,4633
"00180 Kamppi - Ruoholahti   (Helsinki )",0,339,150,189,8700,59.4,80,8620
"00190 Suomenlinna   (Helsinki )",0,116,59,57,408,69.6,85,323
"00200 Lauttasaari   (Helsinki )",5,592,60,532,9341,60.2,492,8849
"00210 Vattuniemi   (Helsinki )",0,239,95,144,4816,70.0,41,4775
"00220 Jätkäsaari   (Helsinki )",0,74,26,48,3372,55.0,0,3372
"00230 Ilmala   (Helsinki )",0,2,2,0,0,0.0,0,0
"00240 Länsi-Pasila   (Helsinki )",0,205,91,114,2988,62.8,14,2974
"00250 Taka-Töölö   (Helsinki )",0,411,129,282,7777,53.8,73,7704
"00260 Keski-Töölö   (Helsinki )",0,141,48,93,3677,62.9,0,3677
"00270 Pohjois-Meilahti   (Helsinki )",0,194,27,167,4880,53.0,68,4812
"00280 Ruskeasuo   (Helsinki )",0,138,26,112,1788,55.8,37,1751
"00290 Meilahden sairaala-alue   (Helsinki )",0,36,31,5,113,64.4,0,113
"00300 Pikku Huopalahti   (Helsinki )",0,225,61,164,3151,61.7,65,3086
"00310 Kivihaka   (Helsinki )",0,35,11,24,604,50.9,13,591
"00320 Etelä-Haaga   (Helsinki )",0,401,50,351,6750,49.7,172,6578
"00330 Munkkiniemi   (Helsinki )",0,386,53,333,5380,70.2,249,5131
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1,224,22,202,858,123.2,401,457
"00350 Munkkivuori-Niemenmäki   (Helsinki )",0,266,65,201,5686,54.9,141,5545
"00360 Pajamäki   (Helsinki )",3,37,7,30,1230,49.8,0,1230
"00370 Reimarla   (Helsinki )",0,784,144,640,3555,66.9,913,2642
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",0,172,105,67,2559,59.0,12,2547
"00390 Konala   (Helsinki )",0,739,142,597,3539,63.1,865,2674
"00400 Pohjois-Haaga   (Helsinki )",0,222,28,194,5781,52.6,69,5712
"00410 Malminkartano   (Helsinki )",0,359,69,290,4363,63.7,350,4013
"00420 Kannelmäki   (Helsinki )",0,709,63,646,8012,59.5,910,7102
"00430 Maununneva   (Helsinki )",0,1262,60,1202,2403,86.8,1729,674
"00440 Lassila   (Helsinki )",0,214,45,169,2775,57.6,96,2679
"00500 Sörnäinen   (Helsinki )",0,226,61,165,9717,39.4,0,9717
"00510 Etu-Vallila - Alppila   (Helsinki )",0,373,151,222,6849,41.3,64,6785
"00520 Itä-Pasila   (Helsinki )",0,211,85,126,4243,54.5,2,4241
"00530 Kallio   (Helsinki )",0,346,114,232,13669,45.3,7,13662
"00540 Kalasatama   (Helsinki )",0,76,42,34,1347,62.5,22,1325
"00550 Vallila   (Helsinki )",6,195,27,168,6390,45.5,17,6373
"00560 Toukola-Vanhakaupunki   (Helsinki )",3,657,134,523,7114,61.2,457,6657
"00570 Kulosaari   (Helsinki )",1,446,70,376,2102,90.0,580,1522
"00580 Verkkosaari   (Helsinki )",0,150,102,48,1412,61.0,12,1400
"00590 Kaitalahti   (Helsinki )",14,170,17,153,461,75.6,161,300
"00600 Koskela-Helsinki   (Helsinki )",0,286,34,252,1850,65.1,253,1597
"00610 Käpylä   (Helsinki )",2,487,72,415,4689,56.3,397,4292
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",0,400,87,313,1587,79.5,525,1062
"00630 Maunula-Suursuo   (Helsinki )",0,571,35,536,5009,60.1,728,4281
"00640 Oulunkylä-Patola   (Helsinki )",0,628,74,554,4588,67.7,936,3652
"00650 Veräjämäki   (Helsinki )",0,374,33,341,2152,74.9,564,1588
"00660 Länsi-Pakila   (Helsinki )",0,1432,68,1364,2884,98.2,2668,216
"00670 Paloheinä   (Helsinki )",1,1313,43,1270,2384,100.4,2365,19
"00680 Itä-Pakila   (Helsinki )",1,819,75,744,1560,99.4,1384,176
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",0,639,39,600,1131,92.4,942,189
"00700 Malmi   (Helsinki )",1,1379,290,1089,7507,62.6,1246,6261
"00710 Pihlajamäki   (Helsinki )",0,390,75,315,7153,62.7,450,6703
"00720 Pukinmäki-Savela   (Helsinki )",1,550,69,481,4856,62.7,586,4270
"00730 Tapanila   (Helsinki )",2,1902,121,1781,5414,75.8,2651,2763
"00740 Siltamäki   (Helsinki )",0,1532,103,1429,4789,77.5,2352,2437
"00750 Puistola   (Helsinki )",3,1403,132,1271,4645,72.7,1920,2725
"00760 Suurmetsä   (Helsinki )",1,1667,124,1543,3249,89.5,2614,635
"00770 Jakomäki - Alppikylä   (Helsinki )",0,562,287,275,3817,64.6,344,3473
"00780 Tapaninvainio   (Helsinki )",1,1365,72,1293,3318,81.9,2150,1168
"00790 Viikki   (Helsinki )",0,407,82,325,5360,62.6,471,4889
"00800 Länsi-Herttoniemi   (Helsinki )",0,452,39,413,4496,57.2,485,4011
"00810 Herttoniemi   (Helsinki )",1,291,86,205,6306,62.1,120,6186
"00820 Roihuvuori   (Helsinki )",0,157,49,108,4339,53.7,0,4339
"00830 Tammisalo   (Helsinki )",42,365,28,337,1000,110.2,816,184
"00840 Laajasalo   (Helsinki )",3,717,65,652,4440,74.8,1419,3021
"00850 Jollas   (Helsinki )",130,726,45,681,1319,103.5,1061,258
"00860 Santahamina   (Helsinki )",1,115,82,33,238,61.9,33,205
"00870 Etelä-Laajasalo   (Helsinki )",11,361,35,326,3333,67.0,429,2904
"00880 Roihupellon teollisuusalue   (Helsinki )",0,217,209,8,415,56.6,3,412
"00890 Östersundom   (Helsinki )",46,914,209,705,725,161.1,713,12
"00900 Puotinharju   (Helsinki )",0,173,45,128,2444,59.5,139,2305
"00910 Puotila   (Helsinki )",0,231,38,193,3647,55.7,124,3523
"00920 Myllypuro   (Helsinki )",1,1026,58,968,6541,69.5,1538,5003
"00930 Itäkeskus-Marjaniemi   (Helsinki )",18,674,61,613,3500,80.0,940,2560
"00940 Kontula - Vesala   (Helsinki )",1,1295,152,1143,13511,64.6,1515,11996
"00950 Vartioharju   (Helsinki )",2,1464,86,1378,2697,88.8,1991,706
"00960 Pohjois-Vuosaari   (Helsinki )",2,307,18,289,4034,62.9,692,3342
"00970 Mellunmäki   (Helsinki )",0,690,64,626,5867,64.3,926,4941
"00980 Etelä-Vuosaari   (Helsinki )",86,1298,293,1005,11962,66.5,1577,10385
"00990 Aurinkolahti   (Helsinki )",10,212,30,182,4661,66.1,216,4445
"01120 Västerskog   (Sipoo )",853,739,119,620,625,122.5,569,56
"01150 Söderkulla   (Sipoo )",432,1752,200,1552,2549,102.2,1717,832
"01180 Kalkkiranta   (Porvoo )",513,278,43,235,211,123.4,211,0
"01190 Box   (Sipoo )",61,528,78,450,431,119.1,431,0
"01200 Hakunila   (Vantaa )",18,899,98,801,6012,67.9,1246,4766
"01230 Vaarala   (Vantaa )",2,513,46,467,1501,79.3,1060,441
"01260 Itä-Hakkila   (Vantaa )",27,1491,93,1398,1929,100.6,1811,118
"01280 Länsimäki   (Vantaa )",1,914,35,879,4777,70.6,1989,2788
"01300 Tikkurila   (Vantaa )",2,1815,259,1556,11384,65.3,2621,8763
"01340 Leinelä   (Vantaa )",0,29,4,25,753,52.9,8,745
"01350 Hiekkaharju   (Vantaa )",2,1059,37,1022,5557,66.9,1466,4091
"01360 Koivukylä-Havukoski   (Vantaa )",3,852,58,794,6979,63.6,1082,5897
"01370 Jokiniemi   (Vantaa )",0,458,45,413,3580,62.0,785,2795
"01380 Kuusikko-Hakkila   (Vantaa )",3,581,82,499,773,98.2,773,0
"01390 Ruskeasanta-Ilola   (Vantaa )",6,2269,66,2203,3768,91.6,3042,726
"01400 Rekola   (Vantaa )",13,1771,73,1698,4065,80.0,2187,1878
"01420 Päiväkumpu   (Vantaa )",12,1036,25,1011,1165,109.6,1165,0
"01450 Korso   (Vantaa )",15,3492,218,3274,8851,77.2,4633,4218
"01480 Mikkola   (Vantaa )",15,984,64,920,3220,74.2,1027,2193
"01490 Nikinmäki   (Sipoo )",23,1277,51,1226,1543,113.3,1491,52
"01510 Kirkonkylä-Veromäki   (Vantaa )",4,734,275,459,3158,65.3,641,2517
"01520 Tammisto   (Vantaa )",0,401,32,369,3596,68.8,873,2723
"01530 Veromiehenkylä   (Vantaa )",0,263,241,22,396,52.4,23,373
"01600 Myyrmäki   (Vantaa )",0,383,81,302,10031,61.1,128,9903
"01610 Kaivoksela   (Vantaa )",3,302,59,243,3073,60.7,340,2733
"01620 Martinlaakso   (Vantaa )",1,599,74,525,6527,67.9,894,5633
"01630 Hämeenkylä   (Vantaa )",2,377,25,352,907,89.7,856,51
"01640 Hämevaara   (Vantaa )",2,684,22,662,1699,80.3,723,976
"01650 Vapaala   (Vantaa )",3,768,38,730,2017,83.8,921,1096
"01660 Varisto   (Vantaa )",3,416,17,399,1101,80.4,950,151
"01670 Vantaanlaakso   (Vantaa )",124,542,41,501,1277,87.3,1040,237
"01680 Askisto   (Vantaa )",2,610,24,586,832,101.2,773,59
"01690 Ylästö   (Vantaa )",12,1265,39,1226,1700,105.2,1644,56
"01700 Kivistö   (Vantaa )",3,1140,48,1092,3646,70.5,1271,2375
"01710 Pähkinärinne   (Vantaa )",0,161,10,151,2984,62.6,309,2675
"01720 Petikko   (Vantaa )",4,123,109,14,33,67.5,21,12
"01730 Vantaanpuisto   (Vantaa )",246,705,92,613,1163,91.1,747,416
"01740 Tuupakan teollisuusalue   (Vantaa )",5,206,111,95,111,114.5,111,0
"01750 Keimola   (Vantaa )",29,387,48,339,340,119.7,340,0
"01760 Seutula   (Vantaa )",118,891,86,805,895,98.3,825,70
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,4,4,0,0,0.0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",87,1890,268,1622,4079,84.6,2226,1853
"01810 Luhtajoki   (Nurmijärvi )",11,302,46,256,275,120.5,272,3
"01820 Haikala   (Nurmijärvi )",6,664,39,625,1331,102.4,1261,70
"01830 Lepsämä   (Nurmijärvi )",57,1038,118,920,954,124.0,954,0
"01840 Klaukkala   (Nurmijärvi )",10,1069,99,970,1565,108.7,1422,143
"01860 Perttula   (Nurmijärvi )",106,939,120,819,832,123.8,817,15
"01900 Nurmijärvi Keskus   (Nurmijärvi )",51,2463,458,2005,4390,88.6,2607,1783
"01940 Palojoki   (Nurmijärvi )",29,356,48,308,310,116.4,310,0
"02100 Tapiola   (Espoo )",0,319,106,213,3298,64.8,299,2999
"02110 Otsolahti   (Espoo )",0,140,18,122,1700,65.9,252,1448
"02120 Länsikorkee-Suvikumpu   (Espoo )",0,138,15,123,1720,64.5,197,1523
"02130 Pohjois-Tapiola   (Espoo )",1,828,72,756,2881,88.3,1442,1439
"02140 Laajalahti   (Espoo )",46,694,28,666,1545,94.8,1119,426
"02150 Otaniemi   (Espoo )",0,201,158,43,1826,47.1,20,1806
"02160 Westend   (Espoo )",74,633,32,601,1381,128.4,924,457
"02170 Haukilahti   (Espoo )",1,519,44,475,2871,89.1,1192,1679
"02180 Mankkaa   (Espoo )",0,1454,56,1398,2579,103.6,2466,113
"02200 Niittykumpu   (Espoo )",2,988,193,795,4464,74.6,1429,3035
"02210 Olari   (Espoo )",120,760,62,698,5833,74.5,1478,4355
"02230 Matinkylä   (Espoo )",64,1505,145,1360,11328,69.4,2090,9238
"02240 Friisilä   (Espoo )",2,638,40,598,946,116.7,725,221
"02250 Henttaa   (Espoo )",8,310,27,283,2075,69.0,305,1770
"02260 Kaitaa   (Espoo )",8,566,30,536,1667,87.3,983,684
"02270 Finnoo-Eestinmalmi   (Espoo )",6,741,187,554,872,104.4,872,0
"02280 Malminmäki-Eestinlaakso   (Espoo )",3,664,29,635,1876,83.2,1299,577
"02290 Puolarmetsän sairaala   (Espoo )",0,0,0,0,0,0.0,0,0
"02300 Nöykkiönpuro   (Espoo )",5,782,29,753,906,128.7,906,0
"02320 Espoonlahti   (Espoo )",3,978,98,880,8558,71.9,1662,6896
"02330 Saunalahti-Kattilalaakso   (Espoo )",24,1888,117,1771,4222,93.2,2155,2067
"02340 Latokaski   (Espoo )",2,977,29,948,1844,91.4,1844,0
"02360 Soukka   (Espoo )",43,1144,65,1079,4750,85.2,1653,3097
"02380 Suvisaaristo   (Espoo )",333,328,36,292,289,171.7,289,0
"02390 Sarvvik   (Kirkkonummi )",27,106,13,93,313,80.1,96,217
"02400 Kirkkonummi Keskus   (Kirkkonummi )",306,2688,218,2470,6045,88.6,3496,2549
"02410 Gesterby   (Kirkkonummi )",0,174,5,169,1293,65.7,290,1003
"02420 Jorvas   (Kirkkonummi )",332,711,81,630,731,141.8,708,23
"02430 Masala   (Kirkkonummi )",7,658,76,582,1988,79.9,1227,761
"02440 Luoma   (Kirkkonummi )",48,296,19,277,268,142.3,268,0
"02450 Sundsberg   (Kirkkonummi )",4,300,12,288,673,108.6,612,61
"02460 Kantvik   (Kirkkonummi )",2,407,34,373,844,96.4,488,356
"02470 Upinniemi   (Kirkkonummi )",11,40,16,24,276,64.0,8,268
"02480 Porkkala   (Kirkkonummi )",917,1531,174,1357,1873,118.4,1624,249
"02490 Pikkala   (Siuntio )",18,111,38,73,181,86.2,73,108
"02510 Oitmäki   (Kirkkonummi )",36,235,23,212,228,112.1,223,5
"02520 Lapinkylä   (Kirkkonummi )",47,386,28,358,343,125.3,343,0
"02540 Kylmälä   (Kirkkonummi )",244,314,35,279,274,127.1,273,1
"02550 Evitskog   (Kirkkonummi )",226,402,26,376,370,123.3,370,0
"02570 Siuntio Kirkonkylä   (Siuntio )",422,693,105,588,602,113.9,597,5
"02580 Siuntio Asemanseutu   (Siuntio )",249,1382,203,1179,1530,115.9,1398,132
"02590 Lappers   (Siuntio )",8,120,12,108,102,134.6,102,0
"02600 Etelä-Leppävaara   (Espoo )",2,629,123,506,5817,64.7,562,5255
"02610 Kilo   (Espoo )",1,624,89,535,2748,70.5,855,1893
"02620 Karakallio   (Espoo )",3,1014,49,965,3758,79.7,1331,2427
"02630 Nihtisilta   (Espoo )",1,519,99,420,1557,75.2,678,879
"02650 Pohjois-Leppävaara   (Espoo )",0,561,115,446,6067,61.8,426,5641
"02660 Lintuvaara   (Espoo )",2,1314,60,1254,2333,94.1,1618,715
"02680 Uusmäki   (Espoo )",0,435,15,420,1229,79.4,591,638
"02700 Kauniainen   (Kauniainen )",0,1453,80,1373,4436,109.6,2148,2288
"02710 Viherlaakso   (Espoo )",1,938,72,866,2977,78.3,1298,1679
"02720 Lähderanta   (Espoo )",2,406,24,382,1424,80.3,736,688
"02730 Jupperi   (Espoo )",21,1459,49,1410,1724,126.1,1698,26
"02740 Bemböle-Pakankylä   (Espoo )",110,769,154,615,1317,93.1,912,405
"02750 Sepänkylä-Kuurinniitty   (Espoo )",4,1063,43,1020,2695,85.5,1432,1263
"02760 Tuomarila-Suvela   (Espoo )",0,1169,81,1088,6854,70.6,2205,4649
"02770 Espoon Keskus   (Espoo )",2,1489,185,1304,5103,70.3,1871,3232
"02780 Kauklahti   (Espoo )",56,2088,188,1900,4510,89.0,2629,1881
"02810 Gumböle-Karhusuo   (Espoo )",5,484,32,452,667,103.7,548,119
"02820 Nupuri-Nuuksio   (Espoo )",358,741,142,599,596,124.4,596,0
"02860 Siikajärvi   (Espoo )",307,310,26,284,294,104.3,294,0
"02880 Veikkola   (Kirkkonummi )",303,1777,112,1665,2285,113.3,2221,64
"02920 Niipperi   (Espoo )",42,1602,260,1342,1960,102.4,1817,143
"02940 Lippajärvi-Järvenperä   (Espoo )",68,1957,104,1853,4710,83.9,3028,1682
"02970 Kalajärvi   (Espoo )",60,1231,110,1121,1514,104.2,1368,146
"02980 Lakisto   (Espoo )",91,136,47,89,545,54.2,88,457
"03100 Nummela   (Vihti )",391,3320,479,2841,7776,83.7,4939,2837
"03150 Huhmari   (Vihti )",166,400,37,363,343,119.5,343,0
"03220 Tervalampi   (Vihti )",281,338,65,273,271,118.6,271,0
"03250 Ojakkala   (Vihti )",159,731,89,642,746,118.7,739,7
"03300 Otalampi   (Vihti )",244,1075,86,989,973,115.6,970,3
"03320 Selki   (Vihti )",18,175,22,153,152,115.4,145,7
"03400 Vihti Kirkonkylä   (Vihti )",623,2321,164,2157,2958,100.8,2573,385
"03430 Jokikunta   (Vihti )",185,245,12,233,227,117.8,227,0
"03600 Karkkila Keskus   (Karkkila )",798,2338,355,1983,3485,81.5,2250,1235
"03620 Polari   (Karkkila )",176,791,75,716,1135,87.7,869,266
"03710 Uusitalo   (Karkkila )",112,121,17,104,89,113.5,89,0
"03790 Vihtijärvi   (Vihti )",369,264,21,243,233,116.3,233,0
"03810 Ikkala   (Lohja )",187,304,34,270,321,97.0,320,1
"03850 Pusula   (Lohja )",1476,838,89,749,887,95.1,859,28
"03870 Hyönölä   (Lohja )",74,123,15,108,97,111.3,97,0
"04130 Sipoo   (Sipoo )",172,2401,383,2018,3497,92.8,2183,1314
"04150 Martinkylä   (Sipoo )",29,362,77,285,267,116.1,267,0
"04170 Paippinen   (Sipoo )",41,626,69,557,519,119.0,519,0
"04200 Kerava Keskus   (Kerava )",4,1503,189,1314,6649,69.9,1586,5063
"04220 Ahjo-Kaskela   (Kerava )",1,1055,129,926,2482,80.5,1166,1316
"04230 Pihkaniitty   (Kerava )",0,1468,52,1416,3531,88.1,2196,1335
"04240 Talma   (Sipoo )",30,613,88,525,508,116.8,508,0
"04250 Alikerava   (Kerava )",10,584,225,359,2550,65.8,550,2000
"04260 Savio   (Kerava )",8,1247,113,1134,3348,73.7,1483,1865
"04300 Hyrylä   (Tuusula )",82,2554,570,1984,5047,86.8,2897,2150
"04310 Tuusula Keskus   (Tuusula )",21,827,120,707,1131,105.9,964,167
"04320 Riihikallio   (Tuusula )",1,929,63,866,2491,82.4,1308,1183
"04330 Lahela   (Tuusula )",6,744,64,680,863,118.4,847,16
"04340 Mattila   (Tuusula )",2,578,49,529,1048,90.1,657,391
"04350 Nahkela   (Tuusula )",23,258,40,218,216,130.5,216,0
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",36,690,198,492,505,114.5,505,0
"04370 Rusutjärvi   (Tuusula )",158,377,53,324,312,122.5,312,0
"04380 Tuomala   (Tuusula )",10,287,44,243,242,132.4,239,3
"04390 Jäniksenlinna   (Tuusula )",45,232,25,207,197,120.2,197,0
"04400 Loutti   (Järvenpää )",6,1542,193,1349,6150,70.8,1799,4351
"04410 Järvenpää Keskus   (Järvenpää )",3,1737,178,1559,6189,70.2,2516,3673
"04420 Kyrölä   (Järvenpää )",3,859,41,818,1786,86.4,1656,130
"04430 Kinnari-Mikonkorpi   (Järvenpää )",18,2203,195,2008,4057,90.9,3304,753
"04440 Jamppa   (Järvenpää )",0,955,237,718,2532,70.4,995,1537
"04460 Nummenkylä   (Tuusula )",0,465,19,446,819,93.3,725,94
"04480 Haarajoki   (Mäntsälä )",93,932,128,804,866,117.8,836,30
"04500 Kellokoski   (Tuusula )",47,2044,275,1769,2601,97.9,2128,473
"04530 Ohkola   (Mäntsälä )",59,435,58,377,356,120.1,356,0
"04600 Mäntsälä Keskus   (Mäntsälä )",29,2602,462,2140,4931,82.1,3056,1875
"04620 Kaunismäki   (Mäntsälä )",15,584,72,512,784,106.9,632,152
"04630 Sääksjärvi   (Mäntsälä )",133,464,64,400,369,118.3,369,0
"04660 Numminen   (Mäntsälä )",137,857,140,717,691,121.4,691,0
"04680 Hirvihaara   (Mäntsälä )",42,364,75,289,274,117.9,273,1
"04740 Sälinkää   (Mäntsälä )",285,625,85,540,505,113.7,501,4
"04770 Sahakylä   (Mäntsälä )",40,121,12,109,104,107.2,104,0
"04820 Kaukalampi   (Mäntsälä )",23,146,13,133,126,117.5,126,0
"04840 Hautjärvi   (Mäntsälä )",130,159,26,133,122,104.7,122,0
"04920 Saarentaus   (Mäntsälä )",31,189,39,150,158,104.9,158,0
"04940 Levanto   (Mäntsälä )",90,164,30,134,127,115.6,121,6
"05100 Röykkä   (Nurmijärvi )",208,853,85,768,952,105.8,888,64
"05200 Rajamäki   (Nurmijärvi )",87,2137,281,1856,2975,93.1,2311,664
"05250 Kiljava   (Nurmijärvi )",16,83,12,71,91,99.6,78,13
"05400 Jokela   (Tuusula )",17,2054,206,1848,2927,92.0,2143,784
"05430 Nuppulinna   (Tuusula )",33,492,60,432,438,110.7,438,0
"05440 Hyvinkää   (Hyvinkää )",1,199,16,183,242,115.4,188,54
"05450 Nukari   (Nurmijärvi )",35,505,69,436,432,120.0,432,0
"05460 Hakalanmäki-Hakala   (Hyvinkää )",1,800,115,685,1597,83.5,1043,554
"05470 Palopuro   (Hyvinkää )",7,158,7,151,153,100.7,153,0
"05510 Päivärinta   (Hyvinkää )",29,201,21,180,272,80.2,221,51
"05620 Noppo   (Hyvinkää )",90,529,65,464,509,109.5,509,0
"05720 Kytäjä   (Hyvinkää )",47,270,21,249,254,130.0,249,5
"05800 Hyvinkää Keskus   (Hyvinkää )",98,1640,418,1222,6202,64.6,1309,4893
"05810 Martti   (Hyvinkää )",0,1230,140,1090,2355,94.4,1551,804
"05820 Mustamännistö   (Hyvinkää )",13,1560,127,1433,2520,84.2,1695,825
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",1,1640,109,1531,3814,78.1,2122,1692
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",7,840,124,716,1866,83.1,1228,638
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",0,5,5,0,0,0.0,0,0
"05860 Talvisilta   (Hyvinkää )",0,301,7,294,710,80.4,342,368
"05880 Paavola-Vaivero   (Hyvinkää )",0,428,61,367,1951,70.7,543,1408
"05900 Vieremä   (Hyvinkää )",0,561,45,516,2273,71.4,606,1667
"05950 Ridasjärvi   (Hyvinkää )",146,218,51,167,189,100.7,187,2
"06100 Porvoo Keskus   (Porvoo )",26,3709,410,3299,10412,76.5,3983,6429
"06150 Kevätkumpu   (Porvoo )",5,1345,243,1102,3086,79.7,1506,1580
"06200 Porvoo itäinen   (Porvoo )",1061,1328,145,1183,1161,118.4,1127,34
"06400 Gammelbacka   (Porvoo )",17,1466,78,1388,3755,79.9,1985,1770
"06450 Eestinmäki-Ernestas   (Porvoo )",1,582,147,435,985,87.1,542,443
"06500 Saksala-Suomenkylä   (Porvoo )",78,1024,96,928,926,117.1,918,8
"06530 Kerkkoo   (Porvoo )",19,345,36,309,337,108.5,331,6
"06650 Hamari   (Porvoo )",6,503,28,475,654,96.1,604,50
"06750 Tolkkinen   (Porvoo )",61,715,87,628,733,108.0,717,16
"06830 Kulloonkylä   (Porvoo )",88,524,68,456,458,118.6,458,0
"06850 Kulloo   (Porvoo )",15,423,405,18,11,88.2,11,0
"06880 Kärrby   (Sipoo )",550,233,36,197,176,116.8,173,3
"06950 Emäsalo   (Porvoo )",460,261,42,219,201,112.9,201,0
"07110 Hinthaara   (Porvoo )",63,621,45,576,605,115.2,601,4
"07130 Anttila   (Porvoo )",62,317,34,283,271,116.8,271,0
"07150 Laukkoski   (Pornainen )",268,511,57,454,416,115.0,416,0
"07170 Keski-Pornainen   (Pornainen )",109,952,137,815,993,108.3,946,47
"07190 Halkia   (Pornainen )",110,696,111,585,565,120.6,563,2
"07220 Kaarenkylä   (Porvoo )",26,162,10,152,143,117.1,143,0
"07230 Monninkylä   (Askola )",114,671,125,546,685,102.2,678,7
"07280 Ilola   (Porvoo )",157,452,69,383,383,114.0,372,11
"07310 Sannainen   (Porvoo )",57,194,29,165,162,125.5,162,0
"07320 Jakari-Sannäs   (Porvoo )",73,232,21,211,207,111.0,207,0
"07350 Gäddrag   (Porvoo )",56,51,3,48,40,105.2,40,0
"07360 Tirmo   (Porvoo )",135,41,8,33,30,103.7,30,0
"07370 Pellinki   (Porvoo )",499,125,35,90,80,101.1,80,0
"07390 Suurpellinki   (Porvoo )",132,63,7,56,49,116.3,49,0
"07410 Kråkö   (Porvoo )",58,208,29,179,162,118.5,162,0
"07450 Voolahti   (Porvoo )",87,236,31,205,204,110.1,194,10
"07500 Askola Kirkonkylä   (Askola )",33,419,43,376,501,97.4,501,0
"07510 Vakkola   (Askola )",58,367,58,309,298,102.7,283,15
"07530 Onkimaa   (Askola )",60,208,27,181,149,97.6,149,0
"07550 Torpinkylä   (Pukkila )",55,160,14,146,137,108.8,137,0
"07560 Pukkila Keskus   (Pukkila )",170,701,107,594,692,95.4,678,14
"07565 Kantele   (Pukkila )",72,170,22,148,120,109.8,120,0
"07580 Tiilää   (Askola )",13,57,14,43,41,112.2,41,0
"07590 Huuvari-Tiilää   (Askola )",135,325,44,281,268,116.4,268,0
"07600 Myrskylä Keskus   (Myrskylä )",407,950,149,801,867,98.1,867,0
"07680 Juornaankylä   (Askola )",171,298,34,264,258,101.4,255,3
"07690 Kankkila   (Myrskylä )",69,106,16,90,70,107.4,70,0
"07700 Koskenkylän saha-alue   (Loviisa )",60,483,68,415,602,93.0,518,84
"07720 Malmgård   (Loviisa )",8,60,13,47,49,79.5,45,4
"07740 Gammelby   (Loviisa )",128,247,31,216,198,112.8,192,6
"07750 Isnäs   (Loviisa )",622,344,64,280,313,97.3,282,31
"07780 Härkäpää   (Loviisa )",496,173,27,146,110,97.8,110,0
"07800 Lapinjärvi Keskus   (Lapinjärvi )",44,413,83,330,515,82.5,511,4
"07810 Ingermaninkylä   (Lapinjärvi )",61,199,45,154,148,96.8,139,9
"07820 Porlammi   (Lapinjärvi )",164,336,43,293,287,92.9,283,4
